id,superficie_interior_m2,superficie_exterior_m2,numero_habitacions,numero_banos,ano_construccion,lonxitude,latitude,temperatura_media_mes_construccion,tipo_edificacion,calidade_materiais,cor_favorita_propietario,distancia_centro_km,distancia_escola_km,indice_criminalidade,acceso_transporte_publico,orientacion,eficiencia_enerxetica,numero_arboles_xardin,prezo_euros
3977,,0.00,3,3,1973,-8.53,43.37,16.50,Apartamento,Media,Amarelo,0.11,9.87,,Regular,Norte,E,0,186930
733,253.70,2477.98,4,2,1984,-8.88,41.84,13.84,Casa,Baixa,Negro,38.22,0.05,0.64,Regular,Norte,B,5,507259
10170,110.15,3.02,6,2,1952,-9.25,42.53,27.67,Apartamento,Media,Vermello,3.00,6.10,0.16,Regular,Oeste,E,0,154114
5197,250.83,63.30,5,1,1973,-7.88,43.75,21.75,Chalet adosado,Alta,Verde,85.39,8.50,0.45,Regular,Este,F,8,351127
25422,198.96,16.51,2,2,1969,-7.05,43.78,19.10,Chalet adosado,Alta,Amarelo,44.34,8.36,0.43,Regular,Norte,A,9,257049
3764,194.99,1051.52,6,2,1971,-7.03,42.25,10.96,Casa,Alta,Azul,28.24,3.96,0.42,Bo,Este,E,10,342563
80,199.21,507.69,2,1,2011,-9.19,42.06,15.19,Casa,Media,Vermello,20.48,8.18,0.50,Regular,Este,E,14,369418
4562,222.14,2771.91,1,3,2013,-8.27,43.38,28.36,Casa,Media,Negro,61.42,12.19,0.79,Regular,Norte,F,14,548264
2332,182.20,2273.94,5,3,2019,-6.91,42.75,19.40,Casa,Baixa,Negro,28.80,5.07,0.23,Regular,Sur,B,9,388443
4507,59.76,17.17,2,2,1959,-8.63,43.73,14.48,Apartamento,Baixa,Branco,5.44,21.95,0.43,Bo,Sur,B,0,50000
11026,139.92,0.00,2,1,2009,-8.80,43.03,22.60,Apartamento,Media,Azul,4.22,11.12,0.15,Bo,Este,G,0,162667
334,212.10,631.90,3,1,2012,-8.24,43.20,12.78,Casa,Alta,Verde,59.58,0.05,0.15,Malo,Norte,B,13,458749
12684,62.62,0.00,6,2,2002,-8.41,42.85,23.21,Apartamento,Media,Verde,4.49,10.61,0.04,Bo,Oeste,G,0,134615
13373,241.09,143.53,3,3,1990,-6.72,42.77,7.40,Chalet adosado,Media,Branco,67.71,4.26,0.34,Bo,Norte,C,2,284653
20382,263.20,2532.65,5,3,1951,-6.94,43.80,19.79,Casa,Media,Branco,26.55,0.05,-0.03,Regular,Oeste,C,18,624669
18863,60.17,0.00,3,1,1958,-6.95,43.09,6.98,Apartamento,Baixa,Vermello,9.62,21.15,0.29,Bo,Norte,D,0,50000
19754,106.84,1747.91,5,3,1977,-7.95,41.86,6.95,Casa,Alta,Amarelo,9.88,0.05,0.32,Bo,Oeste,E,8,342864
29040,86.15,0.00,6,2,1942,-6.75,42.94,19.13,Apartamento,Baixa,Branco,12.94,6.74,0.28,Regular,Este,G,0,50000
21749,172.53,38.91,5,2,1954,-8.11,43.60,12.04,Apartamento,Media,Azul,9.54,,0.50,Bo,Norte,C,0,163606
9076,137.48,,6,1,2001,-7.83,42.97,26.88,Apartamento,Media,Verde,2.76,10.38,0.36,Regular,Sur,B,0,152601
5151,102.07,0.00,5,3,1995,-7.33,42.18,22.64,Apartamento,Media,Azul,8.81,15.06,0.49,Bo,Sur,A,0,118605
20677,163.40,1414.90,6,3,1993,-6.76,42.18,24.66,Casa,Media,Vermello,20.97,8.41,0.61,Bo,Sur,C,2,354651
19991,138.95,0.00,1,2,2024,-7.37,41.94,27.57,Apartamento,Media,Azul,,0.05,0.53,Bo,Este,F,0,122547
29235,,0.00,3,2,2022,-7.10,42.57,22.52,Apartamento,Media,Vermello,13.46,16.02,-0.03,Regular,Norte,A,0,94390
6835,153.22,34.82,6,2,1997,-6.94,43.65,8.97,Apartamento,Baixa,Azul,0.10,0.05,0.48,Regular,Este,B,0,172309
16168,244.53,1890.87,5,3,1977,-6.89,42.86,22.02,Casa,Media,Verde,11.21,8.69,0.53,Bo,Sur,E,18,532483
16304,105.05,988.88,2,1,1975,-8.62,43.22,22.84,Chalet adosado,Media,Branco,81.04,9.26,0.67,Bo,Sur,C,3,282348
2373,226.56,298.93,3,1,1983,-8.09,42.84,7.22,Casa,Media,Branco,69.20,3.41,0.03,Regular,Oeste,C,7,298740
22634,93.63,18.23,2,3,1970,-7.96,43.43,20.70,Apartamento,Alta,Verde,10.66,10.76,0.14,Bo,Sur,B,0,162093
14975,268.84,2712.82,2,2,2006,-7.05,43.37,11.75,Casa,Media,Amarelo,,10.85,0.41,Malo,Oeste,E,13,583749
23208,102.43,0.00,6,2,2022,-8.75,43.36,24.68,Apartamento,Alta,Azul,11.26,17.99,0.28,Bo,Sur,C,0,179360
6178,185.15,1529.01,6,3,1986,-8.50,42.28,7.77,Casa,Media,Negro,39.05,4.60,0.61,Regular,Norte,A,14,487848
6248,215.91,1839.31,6,1,2012,-6.79,42.57,22.44,Casa,Media,Verde,53.67,16.66,0.30,Bo,Oeste,A,11,523621
24196,123.24,0.00,2,3,1971,-7.02,42.67,16.98,Apartamento,Alta,Amarelo,2.31,12.65,0.24,Regular,Sur,A,0,143782
4254,114.12,104.59,2,2,2013,-9.22,43.55,20.27,Chalet adosado,Baixa,Verde,57.90,0.05,0.39,Malo,Sur,C,0,144243
4290,59.98,3.88,6,3,1988,-6.90,42.18,5.91,Apartamento,Media,Azul,10.34,11.16,0.06,Regular,Sur,G,0,109402
12632,81.88,0.00,3,2,1984,-9.24,42.62,17.55,Apartamento,Baixa,Verde,13.52,8.41,0.16,Regular,Este,C,0,71697
14113,103.89,25.20,1,2,1954,-7.56,43.53,10.56,Apartamento,Baixa,Verde,12.97,2.81,,Regular,Sur,C,0,50000
13771,145.77,1419.82,5,2,1946,-7.75,42.34,25.55,Apartamento,Alta,Vermello,68.29,24.70,0.46,Regular,Sur,D,14,304523
14266,30.00,0.00,6,3,2020,-6.72,42.08,26.05,Apartamento,Alta,Branco,29.10,14.95,0.48,Bo,Norte,A,0,63275
20911,38.79,0.00,6,3,1982,-8.07,43.71,24.45,Apartamento,Alta,Negro,14.49,8.61,0.60,Regular,Oeste,D,0,128773
5401,43.18,20.32,3,3,1941,-6.96,42.31,21.14,Apartamento,Media,Vermello,0.10,17.67,0.38,Regular,Oeste,B,0,51900
215,65.56,12.64,1,1,1998,-7.58,42.19,28.97,Apartamento,Alta,Verde,6.51,8.21,0.30,Bo,Sur,F,0,76331
21725,37.83,0.00,1,3,1964,-7.84,42.93,25.82,Apartamento,Media,Verde,9.40,19.63,0.28,Bo,Norte,C,0,50000
25854,95.96,165.83,4,3,1978,-9.13,43.59,7.01,Chalet adosado,Alta,Branco,57.81,0.05,0.52,Bo,Sur,E,6,238400
4802,76.99,0.00,6,1,1991,-8.41,42.32,5.67,Apartamento,Media,Amarelo,0.10,11.34,0.14,Regular,Sur,C,0,82922
22031,123.01,1.18,6,3,2002,-9.07,43.57,21.40,Apartamento,Alta,Branco,14.03,0.05,0.45,Regular,Sur,C,0,207381
12576,82.62,0.00,1,2,1988,-8.67,42.73,9.78,Apartamento,Alta,Branco,21.33,20.46,0.22,Bo,Oeste,B,0,50000
28335,52.55,5.87,4,3,1999,-7.27,43.29,6.09,Apartamento,Media,Verde,16.80,14.72,0.44,Bo,Sur,F,0,50000
3155,63.88,38.87,4,1,1948,-8.33,42.62,19.03,Casa,Alta,Verde,9.97,0.05,0.25,Bo,Norte,G,0,85869
14137,66.93,0.00,6,2,1954,-6.78,42.09,19.70,Apartamento,Baixa,Amarelo,10.00,15.30,0.17,Regular,Este,F,0,50000
10770,164.30,0.00,2,3,2019,-7.89,42.08,28.85,Apartamento,Alta,Vermello,21.32,,0.10,Bo,Norte,D,0,140312
13242,88.05,,1,3,2000,-9.09,43.47,23.67,Casa,Baixa,Verde,24.73,10.85,0.53,Bo,Oeste,E,8,286257
24703,203.88,157.87,5,3,1980,-8.65,42.91,16.75,Chalet adosado,Media,Azul,82.18,9.27,0.39,Bo,Este,B,3,363094
107,,5.91,3,1,1964,-8.39,41.98,26.73,Apartamento,Alta,Amarelo,2.54,11.74,0.27,Bo,Sur,D,0,71230
28216,113.79,219.32,3,2,2012,-8.37,42.82,15.89,Chalet adosado,Media,Branco,1.88,4.28,0.41,Bo,Oeste,F,8,185608
27466,175.07,2958.33,6,2,1950,-8.26,43.54,21.19,Casa,Baixa,Verde,68.99,0.05,0.46,Regular,Oeste,E,8,542984
3405,55.93,0.00,4,2,2005,-9.03,43.33,10.24,Apartamento,Alta,Vermello,23.18,13.22,-0.07,Bo,Oeste,C,0,120373
16103,49.92,27.76,3,3,1971,-7.42,42.22,27.91,Casa,Alta,Azul,0.10,6.94,0.41,Bo,Oeste,D,0,50000
13832,72.72,16.89,4,1,1955,-8.49,42.91,29.75,Apartamento,Media,Verde,6.00,8.52,0.31,Malo,Norte,A,0,65974
7717,60.21,1214.98,3,3,1956,-8.29,42.07,19.80,Casa,Media,Verde,13.88,3.24,0.66,Regular,Este,G,16,217999
19589,89.19,47.74,5,2,2020,-6.87,43.34,22.81,Apartamento,Media,Verde,,13.58,0.13,Bo,Norte,A,0,91195
13349,182.41,12.68,6,1,1947,-9.12,42.49,26.26,Apartamento,Alta,Negro,17.29,12.62,0.17,Bo,Oeste,E,0,153504
6633,30.00,0.00,4,3,2009,-9.09,43.13,16.08,Apartamento,Alta,Verde,22.16,3.35,0.43,Bo,Oeste,F,0,92448
28238,34.35,30.66,4,1,1969,-7.95,42.82,13.25,Apartamento,Baixa,Branco,14.37,13.87,0.37,Bo,Oeste,B,0,50000
6526,,41.04,1,1,1943,-6.91,42.05,27.69,Apartamento,Media,Negro,21.53,20.32,0.06,Regular,Sur,D,0,91311
22383,72.64,16.77,6,2,1956,-8.60,42.94,20.01,Apartamento,Media,Vermello,0.10,0.05,0.09,Bo,Sur,D,0,98553
6388,30.00,3.62,4,3,1979,-8.15,42.50,10.78,Apartamento,Media,Amarelo,0.10,1.28,0.31,Regular,Sur,C,0,73316
20874,150.63,2.28,4,1,2024,-9.07,43.12,8.31,Chalet adosado,Media,Azul,59.51,1.37,-0.03,Malo,Norte,B,5,189539
22226,153.36,88.33,1,1,1983,-7.88,43.69,26.90,Chalet adosado,Alta,Azul,67.77,15.14,0.57,Regular,Norte,C,5,174480
20789,125.52,644.81,5,2,1951,-8.22,42.44,6.59,Casa,Alta,Azul,50.16,14.59,0.19,Regular,Este,C,1,236782
2977,278.39,779.76,3,1,1989,-8.81,43.55,18.32,Casa,Media,Amarelo,2.55,21.30,0.84,Bo,Este,F,13,400930
1529,48.46,0.00,1,2,1981,-8.99,42.91,26.32,Apartamento,Media,Vermello,0.18,4.66,0.24,Bo,Oeste,G,0,50000
29081,262.20,120.90,1,2,2002,-7.13,41.80,6.68,Chalet adosado,Alta,Vermello,40.13,4.02,0.52,Regular,Sur,E,19,265054
25781,78.71,0.00,1,1,2003,-8.62,43.13,28.67,Apartamento,Alta,Azul,6.49,16.26,0.10,Bo,Este,B,0,129420
966,92.93,40.35,2,3,2024,-9.06,42.12,16.26,Apartamento,Baixa,Vermello,21.10,17.12,-0.06,Bo,Norte,A,0,119379
26924,160.90,2770.12,1,2,2012,-8.43,42.04,17.52,Casa,Media,Verde,7.37,14.73,0.35,Bo,Norte,E,11,533844
2925,30.00,0.00,6,1,2001,-9.21,41.97,29.70,Apartamento,Baixa,Vermello,16.92,3.58,0.40,Bo,Este,C,0,55046
9855,31.23,0.00,6,3,1966,-7.42,43.22,23.30,Apartamento,Media,Azul,,6.11,0.09,Bo,Oeste,C,0,97267
456,69.87,1966.32,2,2,1940,-8.14,42.55,7.91,Casa,Media,Branco,21.13,16.18,0.39,Bo,Este,D,19,406538
21559,98.58,29.77,5,3,1944,-9.15,43.13,17.56,Casa,Alta,Amarelo,7.55,1.57,0.20,Regular,Este,C,0,128634
7054,118.64,2131.43,6,3,1963,-8.30,43.36,9.18,Casa,Alta,Vermello,10.11,7.20,0.82,Regular,Norte,E,17,492349
10389,191.00,902.41,4,3,1975,-8.90,43.42,12.25,Casa,Media,Azul,,9.74,,Regular,Este,D,3,364233
22442,149.72,,3,2,1978,-7.78,42.47,12.30,Apartamento,Media,Verde,,12.00,0.06,Bo,Este,G,0,140615
26951,283.52,758.35,2,2,2003,-9.08,42.26,27.78,Casa,Alta,Azul,78.08,15.83,0.33,Regular,Norte,D,18,511781
21323,94.08,0.00,4,3,1949,-8.30,42.16,17.66,Apartamento,Baixa,Negro,12.20,3.04,0.32,Bo,Este,A,0,103460
23773,103.87,99.80,4,3,2006,-7.07,42.67,25.66,Casa,Alta,Vermello,11.47,19.58,0.40,Regular,Oeste,F,2,96131
9287,270.77,31.65,5,3,1984,-8.96,42.69,20.36,Chalet adosado,Baixa,Verde,9.31,11.85,0.33,Bo,Oeste,D,19,251312
29033,132.16,1230.16,3,1,2009,-7.40,42.22,5.52,Casa,Media,Verde,76.03,13.79,0.28,Bo,Sur,A,17,326062
12021,262.69,27.14,2,2,1982,-7.59,43.15,16.11,Chalet adosado,Media,Verde,26.54,8.18,0.54,Bo,Sur,B,13,263897
24476,303.36,69.46,3,3,2004,-7.51,41.94,7.95,Chalet adosado,Media,Branco,28.48,24.97,0.38,Bo,Sur,C,16,308290
15305,134.55,36.91,3,2,1980,-7.45,43.00,6.69,Apartamento,Media,Azul,0.10,19.78,0.44,Malo,Este,D,0,130536
16422,144.85,0.00,2,2,1947,-7.62,42.64,22.46,Apartamento,Media,Negro,9.28,3.55,0.19,Regular,Este,B,0,108849
28085,162.92,1652.73,5,3,2024,-8.80,42.99,24.04,Casa,Alta,Azul,26.60,0.82,0.69,Bo,Sur,G,12,449682
26694,56.90,35.40,1,2,2022,-7.39,41.94,12.28,Apartamento,Media,Verde,5.24,4.22,0.48,Bo,Norte,E,0,95385
28579,56.72,14.43,4,1,1960,-8.85,42.66,28.09,Apartamento,Alta,Verde,21.91,6.39,0.34,Bo,Este,C,0,67489
28176,147.59,20.12,5,2,1996,-6.73,42.12,22.71,Apartamento,Alta,Verde,2.74,15.27,0.27,Bo,Sur,D,0,152369
22890,30.00,37.68,4,2,1960,-6.77,42.76,8.05,Apartamento,Media,Azul,16.26,18.83,0.15,Bo,Norte,F,0,50000
3647,148.10,20.72,5,2,2010,-8.48,42.18,22.75,Apartamento,Alta,Amarelo,12.16,2.67,0.29,Bo,Oeste,B,0,191876
501,143.31,40.07,1,1,1959,-8.83,43.76,6.28,Apartamento,Baixa,Negro,0.93,0.05,0.25,Bo,Oeste,F,0,111441
12212,123.36,0.00,4,3,1947,-6.70,43.36,27.81,Apartamento,Media,Azul,7.16,2.38,0.18,Bo,Este,B,0,120207
21708,43.38,0.00,2,3,1942,-7.07,43.00,26.40,Apartamento,Alta,Branco,0.10,22.06,0.13,Regular,Sur,B,0,76219
22935,232.35,1430.16,6,1,2013,-8.71,42.70,18.20,Casa,Alta,Amarelo,49.85,4.26,0.36,Bo,Sur,F,4,505448
2099,,165.86,4,3,2022,-8.55,43.09,11.11,Casa,Baixa,Negro,66.16,7.02,0.08,Regular,Norte,F,11,193137
13344,46.44,18.52,5,2,1964,-7.84,41.97,26.07,Apartamento,Media,Amarelo,7.81,16.02,0.14,Malo,Oeste,E,0,69384
17553,108.29,1464.31,2,3,2004,-8.83,42.44,9.66,Casa,Media,Branco,37.63,,0.54,Regular,Sur,D,14,352373
10217,136.39,0.00,5,2,1986,-8.06,42.19,20.05,Apartamento,Media,Amarelo,8.66,21.10,0.26,Regular,Este,G,0,132398
13581,,,5,1,1946,-8.46,42.12,19.44,Chalet adosado,Media,Amarelo,47.04,20.47,0.58,Bo,Oeste,C,16,141589
8053,124.90,0.00,1,2,2003,-6.81,42.69,13.68,Apartamento,Baixa,Negro,,7.07,0.26,Bo,Sur,B,0,98628
20869,71.78,0.00,5,3,1994,-7.97,43.11,29.31,Apartamento,Alta,Vermello,6.07,18.47,0.33,Regular,Norte,C,0,111086
23740,97.87,1.61,5,1,1963,-7.08,43.04,22.35,Apartamento,Baixa,Azul,15.94,8.66,0.39,Bo,Sur,D,0,114003
16675,,41.76,4,2,2006,-7.90,43.05,14.82,Chalet adosado,Alta,Branco,20.98,9.86,0.38,Bo,Norte,B,5,348942
25022,94.59,3.64,4,1,2014,-7.27,42.29,5.14,Apartamento,Media,Negro,17.23,22.30,0.23,Bo,Sur,D,0,153948
28951,151.88,0.00,5,1,1995,-8.55,42.04,21.06,Apartamento,Alta,Verde,15.27,7.08,0.45,Bo,Sur,B,0,172125
22937,37.53,0.00,5,1,1955,-8.02,42.21,26.77,Apartamento,Baixa,Branco,0.10,13.89,0.26,Bo,Norte,D,0,50000
26493,199.63,232.28,1,1,1949,-9.24,43.51,7.56,Casa,Alta,Vermello,18.05,8.46,0.66,Regular,Sur,D,5,313907
9388,51.02,,3,1,1961,-7.65,43.30,14.19,Apartamento,Media,Azul,0.10,,0.10,Regular,Sur,E,0,71872
9658,214.79,950.31,2,1,2017,-8.42,42.73,9.23,Apartamento,Media,Vermello,55.95,9.66,0.11,Bo,Norte,F,2,380299
15890,85.87,2726.12,5,2,2017,-6.76,42.53,25.51,Casa,Alta,Negro,66.84,11.54,0.45,Malo,Oeste,F,6,375748
17410,245.10,335.26,6,3,1970,-9.10,43.74,22.66,Casa,Baixa,Branco,45.75,18.68,0.37,Bo,Sur,C,14,438454
19486,40.64,26.32,5,3,1969,-8.55,42.78,24.56,Apartamento,Media,Verde,7.80,0.05,0.56,Bo,Sur,A,0,86215
4053,80.16,0.00,5,2,1951,-6.89,43.72,21.43,Apartamento,Media,Branco,17.73,0.05,0.36,Regular,Este,C,0,82854
9295,234.99,2988.96,3,3,2022,-7.37,43.30,6.48,Casa,Media,Amarelo,44.40,5.00,0.59,Bo,Este,C,3,635284
23901,86.61,11.64,5,1,1947,-8.25,42.44,16.09,Apartamento,Media,Verde,9.41,2.68,-0.01,Malo,Norte,B,0,123195
3737,270.57,2809.23,5,3,2020,-7.29,41.87,20.88,Casa,Media,Branco,62.18,,,Bo,Este,C,17,651604
17192,,69.93,4,1,1941,-8.08,43.64,11.84,Apartamento,Media,Amarelo,16.40,5.86,0.08,Bo,Norte,F,0,68813
24915,30.00,22.23,3,1,2013,-8.09,43.34,14.72,Apartamento,Alta,Branco,18.16,0.05,0.12,Bo,Sur,D,0,50000
28661,67.72,0.00,2,1,2017,-8.83,43.67,24.96,Apartamento,Media,Azul,4.86,11.30,0.53,Bo,Norte,A,0,114779
14048,69.83,0.00,4,3,1942,-7.17,43.05,17.95,Apartamento,Alta,Verde,19.77,4.52,0.57,Bo,Oeste,C,0,96257
15502,129.80,21.58,5,3,1980,-7.70,42.82,22.44,Apartamento,Media,Negro,10.39,9.67,0.30,Regular,Norte,E,0,137815
26668,215.47,377.07,4,2,1981,-6.79,42.80,7.67,Apartamento,Alta,Azul,14.01,12.35,0.57,Bo,Oeste,F,0,98833
2756,270.53,802.45,2,3,2018,-9.06,42.64,17.76,Casa,Alta,Amarelo,52.50,13.13,0.32,Bo,Oeste,C,11,554761
3213,99.97,31.58,5,2,1965,-8.67,42.74,23.49,Apartamento,Media,Azul,6.81,9.95,0.03,Regular,Sur,E,0,132300
25690,103.29,0.00,2,1,1961,-7.87,42.31,29.20,Apartamento,Media,Vermello,10.92,21.17,0.15,Regular,Sur,D,0,122261
15331,107.21,1872.53,2,2,1956,-8.00,43.66,6.33,Casa,Media,Azul,73.46,5.05,0.42,Bo,Este,B,19,475319
25072,115.53,22.87,1,2,1946,-7.37,41.96,9.34,Apartamento,Media,Vermello,9.60,0.54,-0.02,Bo,Sur,D,0,107332
24694,87.01,375.78,2,2,1975,-6.74,42.84,13.20,Casa,Media,Azul,25.13,,0.24,Regular,Norte,D,13,128042
8409,200.71,1555.00,4,2,1980,-6.70,41.87,13.95,Casa,Alta,Verde,26.20,2.94,0.42,Regular,Norte,B,9,385523
4722,160.58,0.00,3,1,1954,-8.27,42.49,22.66,Apartamento,Media,Negro,3.54,,0.05,Bo,Oeste,E,0,159184
12440,106.66,2341.31,6,2,1944,-8.01,42.08,8.99,Casa,Alta,Vermello,0.16,7.26,0.35,Regular,Oeste,A,5,497368
11465,85.21,0.00,3,2,1945,-7.88,42.41,19.46,Apartamento,Alta,Branco,0.10,0.05,0.37,Bo,Norte,D,0,110158
5966,96.52,0.00,6,2,1945,-8.41,42.99,18.26,Apartamento,Baixa,Verde,11.46,17.54,0.36,Bo,Oeste,F,0,89252
11585,151.12,0.00,4,2,1974,-7.33,43.78,28.63,Apartamento,Media,Branco,15.57,,0.14,Bo,Oeste,D,0,129318
8255,157.49,229.03,5,2,1942,-9.10,41.95,16.93,Casa,Baixa,Negro,14.68,,0.31,Bo,Sur,D,19,232758
17469,130.93,215.33,2,1,2003,-8.93,43.70,19.06,Chalet adosado,Media,Verde,20.31,15.76,0.10,Regular,Este,F,19,145425
19376,48.78,1252.83,4,2,1942,-9.26,43.63,19.74,Casa,Baixa,Amarelo,47.26,4.83,0.08,Regular,Este,D,12,242200
4097,147.06,1838.08,4,1,2000,-7.60,42.82,12.56,Casa,Media,Verde,29.50,2.92,0.15,Regular,Este,C,15,453870
6460,144.95,2880.76,5,1,1941,-7.57,43.13,22.45,Casa,Baixa,Negro,56.57,1.61,0.21,Malo,Oeste,D,10,394846
25251,55.83,0.00,4,2,1966,-7.84,43.37,9.41,Apartamento,Media,Branco,20.54,5.05,0.10,Bo,Oeste,B,0,80546
1566,87.90,47.72,5,3,2006,-8.12,43.16,14.34,Apartamento,Media,Negro,7.77,13.85,0.31,Malo,Este,E,0,144830
7712,241.28,82.63,5,1,1977,-8.75,43.52,18.24,Chalet adosado,Media,Negro,11.77,6.76,0.41,Malo,Norte,B,14,335242
23444,71.51,10.54,2,2,1954,-7.63,43.31,24.85,Apartamento,Media,Verde,17.63,22.76,0.08,Bo,Oeste,C,0,50000
29598,242.27,38.71,1,1,1974,-8.12,43.35,9.63,Chalet adosado,Alta,Branco,38.54,0.50,0.00,Bo,Este,C,3,313172
28409,213.43,73.81,4,3,1965,-8.32,42.62,19.32,Chalet adosado,Baixa,Amarelo,6.48,3.09,0.19,Malo,Sur,E,6,243239
7112,118.79,2377.43,1,3,1972,-6.80,42.58,25.85,Casa,Alta,Branco,,3.56,0.02,Regular,Este,E,1,463732
25243,30.00,,4,2,2023,-7.69,42.08,20.91,Apartamento,Alta,Amarelo,3.32,8.70,0.31,Bo,Sur,D,0,63819
15780,172.81,10.33,2,2,1982,-8.94,42.06,7.66,Apartamento,Baixa,Amarelo,3.08,16.09,0.11,Malo,Oeste,G,0,109034
24188,87.82,0.00,6,2,2000,-9.24,43.44,8.86,Apartamento,Alta,Verde,9.95,12.48,0.08,Bo,Norte,E,0,88180
22955,117.99,44.29,1,2,1998,-7.17,42.17,13.02,Apartamento,Alta,Verde,,9.28,0.30,Malo,Norte,B,0,129440
11156,171.67,4.55,1,3,1951,-8.29,43.25,28.04,Apartamento,Baixa,Branco,10.90,19.92,0.00,Bo,Oeste,D,0,114136
17149,69.40,0.00,3,2,1956,-8.16,43.13,25.29,Casa,Media,Branco,7.44,0.05,0.02,Bo,Oeste,E,0,106395
20508,107.67,46.45,5,2,2006,-9.06,42.55,12.90,Apartamento,Media,Negro,14.90,11.29,0.14,Bo,Norte,C,0,157436
23748,85.01,0.00,2,3,1974,-8.91,42.47,17.71,Apartamento,Media,Amarelo,14.03,16.41,0.00,Bo,Oeste,E,0,112345
1781,66.54,0.57,1,2,2016,-9.08,42.94,17.16,Apartamento,Media,Negro,9.55,8.24,0.30,Bo,Sur,E,0,107770
9614,152.34,45.39,2,2,1959,-8.23,43.32,10.76,Apartamento,Media,Amarelo,14.95,6.76,,Regular,Oeste,D,0,111801
7464,223.79,1472.62,3,1,2004,-6.76,43.67,16.47,Casa,Media,Negro,41.77,3.68,0.25,Bo,Este,C,17,461251
4423,133.13,1.23,6,3,1943,-8.51,42.27,17.63,Apartamento,Media,Vermello,13.10,1.32,0.27,Bo,Este,D,0,145540
2680,81.53,24.34,2,3,1953,-8.77,41.93,12.68,Apartamento,Media,Vermello,20.18,0.42,0.18,Regular,Este,C,0,62616
11371,142.88,146.35,2,3,1994,-7.29,41.81,18.73,Chalet adosado,Alta,Azul,11.32,21.45,0.67,Bo,Norte,E,18,109394
22022,145.14,458.70,5,2,2017,-9.26,41.93,14.43,Casa,Media,Azul,67.68,8.02,0.52,Bo,Este,B,2,258528
3592,50.56,24.85,1,3,1990,-8.21,42.79,9.24,Apartamento,Alta,Verde,,11.87,0.35,Bo,Oeste,C,0,57461
18930,260.01,2862.71,2,2,1969,-7.67,41.80,25.13,Casa,Media,Vermello,41.52,6.67,,Malo,Oeste,F,1,507131
8585,116.89,23.34,4,1,1983,-7.46,41.94,20.50,Apartamento,Baixa,Verde,19.82,10.81,0.14,Bo,Este,C,0,105412
23413,112.12,0.00,2,1,1951,-8.11,42.62,11.89,Apartamento,Alta,Negro,9.64,16.56,0.28,Regular,Este,A,0,132806
18993,292.16,1341.00,4,2,1962,-7.75,43.35,27.45,Casa,Alta,Negro,19.47,12.65,0.31,Bo,Norte,D,4,539790
9417,31.49,11.84,1,2,2006,-8.00,43.19,16.22,Apartamento,Baixa,Verde,13.12,0.48,,Regular,Este,G,0,50000
2057,84.94,0.00,6,1,2019,-7.91,41.82,18.99,Apartamento,Alta,Branco,12.47,25.17,0.16,Bo,Oeste,D,0,135321
29404,144.92,0.00,4,1,1969,-7.73,42.08,21.93,Apartamento,Alta,Azul,5.89,15.42,0.52,Bo,Sur,E,0,166476
4554,129.33,712.50,3,1,2002,-8.23,42.52,26.27,Casa,Alta,Verde,38.73,,0.54,Regular,Este,G,19,186852
20056,140.02,1264.36,1,2,2003,-7.58,42.99,25.62,Casa,Alta,Negro,0.10,8.96,0.67,Regular,Norte,C,8,261800
10086,139.36,2659.95,5,1,1971,-8.28,42.27,20.52,Casa,Alta,Amarelo,8.43,0.89,0.12,Regular,Sur,D,7,473514
642,34.55,17.63,1,2,1950,-7.78,42.50,9.88,Apartamento,Baixa,Branco,10.84,7.32,0.51,Bo,Oeste,B,0,50000
5362,136.02,1533.45,6,1,1971,-7.79,42.64,27.34,Casa,Baixa,Verde,0.10,9.48,0.27,Bo,Sur,F,17,293408
17535,66.53,0.05,5,3,2004,-9.12,42.74,7.02,Casa,Baixa,Branco,2.88,15.54,0.05,Regular,Este,D,0,69455
4428,51.55,0.00,3,1,1972,-8.58,43.51,10.05,Casa,Baixa,Amarelo,12.31,2.36,0.45,Bo,Sur,F,0,50000
22225,211.64,137.89,2,2,1946,-9.04,42.22,26.26,Chalet adosado,Media,Negro,79.28,23.69,0.30,Bo,Oeste,B,5,311633
16077,176.92,156.22,1,3,1960,-8.59,42.51,16.72,Chalet adosado,Media,Azul,,0.05,0.60,Bo,Sur,E,12,246390
24322,45.39,0.90,2,1,1959,-8.91,41.85,22.51,Apartamento,Alta,Negro,17.67,8.08,0.60,Bo,Norte,B,0,50000
17943,70.62,9.47,4,1,1995,-7.31,41.97,28.00,Apartamento,Baixa,Vermello,5.96,3.01,0.03,Regular,Sur,A,0,50000
4430,176.22,534.76,1,1,2001,-7.71,42.27,12.89,Casa,Media,Verde,35.75,16.77,0.49,Malo,Oeste,B,8,221442
24590,121.00,112.13,1,3,2000,-6.87,42.63,15.25,Chalet adosado,Media,Branco,49.51,10.48,0.41,Bo,Sur,E,18,162950
3775,43.62,19.49,1,1,1977,-8.53,42.37,15.23,Apartamento,Media,Verde,9.27,4.11,,Bo,Norte,A,0,50000
5855,,22.56,2,1,1944,-7.30,43.16,13.58,Apartamento,Alta,Branco,7.13,4.82,0.20,Regular,Este,G,0,54436
21865,137.62,22.09,5,2,1947,-7.50,43.55,19.10,Apartamento,Media,Negro,17.70,16.52,0.20,Bo,Oeste,D,0,176663
